"analysis","final_status","result_or_reason","evidence_location"
"2025 European ED outcome sensitivity","completed_and_reported","158/230 estimable; minimum P 6.388e-05; minimum q 0.00593973; 8 FDR signals","ed_2025_known_overlap_sensitivity_results.csv"
"2025 African-ancestry ED outcome sensitivity","completed_and_reported","108/230 estimable; minimum P 0.0168026; minimum q 1; 0 FDR signals","ed_2025_known_overlap_sensitivity_results.csv"
"2025 cross-ancestry ED outcome sensitivity","completed_and_reported","165/230 estimable; minimum P 6.388e-05; minimum q 0.00593973; 8 FDR signals","ed_2025_known_overlap_sensitivity_results.csv"
"Weighted median","completed_when_instrument_count_permitted","6 estimated, 0 explicit failures, 18 not estimable","forward_all_method_results.csv"
"MR-Egger","completed_when_instrument_count_permitted","6 estimated, 0 explicit failures, 18 not estimable","forward_all_method_results.csv"
"MR-RAPS","completed_when_instrument_count_permitted","23 estimated, 1 explicit failures, 0 not estimable","forward_all_method_results.csv"
"Steiger directionality","not_triggered_and_not_interpreted_as_support","No forward association passed FDR, so the candidate-triggered analysis did not activate; population prevalence required for a defensible binary-outcome comparison was not prespecified","forward_diagnostic_trigger_status.csv"
"MR-PRESSO","not_triggered_and_not_interpreted_as_support","No forward association passed FDR; all seven nominal forward estimates used one SNP and MR-PRESSO was not estimable","forward_diagnostic_trigger_status.csv"
"HUNT evaluation","completed_at_two_evidence_levels","97 exact-label same-SNP lookups: 76 direction-concordant; the two nominal exact-label HUNT GWASs had 0 GWS instruments and used 23/20 HUNT-selected exploratory SNPs in the older analysis","hunt_same_snp_validation.csv; hunt_nominal_trait_audit.csv"
"Prespecified bounded mechanistic screening","completed_and_reported","7 result families, 544 rows, 0 FDR signals; retained only as bounded screening","mechanistic_screening_full_enriched.csv"
"CCL11 source-heterogeneity sensitivity","completed_and_excluded_in_sensitivity","CCL11 cis lead rs763781 had source heterogeneity I2 86.8%, P 0.005871; excluded under the predefined P<0.05 rule","config/cytokine_cis_leads.csv"
"Colocalization triggering rule","not_triggered_component_gates_failed","No X-to-M and M-to-ED component pair jointly passed FDR; colocalization was not triggered","mechanistic_extension_decision.csv"
"Source-study-wide significance sensitivity","completed_and_reported","27 traits eligible, 23 estimable, minimum P 0.153256, minimum q 1, 0 FDR signals","source_study_wide_mr_primary_results.csv"
"Estimable-only BH sensitivity","completed_and_reported","Denominator 218; minimum q 0.892508; 0 FDR signals","multiplicity_sensitivity_trait_results.csv"
"Unique-signal-cluster BH sensitivity","completed_and_reported","Denominator 225; minimum q 0.960539; 0 FDR signals","multiplicity_unique_signal_clusters.csv"
"Power and minimum detectable effect","completed_and_reported","Completed for all 218 estimable forward traits using mRnd binary-outcome approximation; presence traits used liability-scale R2 with prevalence scenarios","power_mde_trait_results.csv"
